orifice_d_m,Vc_m3,Cd,muzzle_v,impulse,t_end_s,peak_F
0.006,0.0005,0.6,7.777116941981621,7.777116941981621,0.09550000000000171,2185.7865977049787
0.006,0.0005,0.7,9.0378480889196,9.0378480889196,0.08400000000000138,2251.2673357216468
0.006,0.0005,0.8,10.288729404887864,10.288729404887864,0.07550000000000114,2245.8145377848523
0.006,0.0008,0.6,7.790276529913358,7.790276529913358,0.0954000000000017,2187.377366233464
0.006,0.0008,0.7,9.062963773343395,9.062963773343395,0.08370000000000137,2252.7563714659036
0.006,0.0008,0.8,10.333354623032971,10.333354623032971,0.07520000000000113,2247.45499059825
0.006,0.001,0.6,7.794014087957418,7.794014087957418,0.0953000000000017,2187.907462432463
0.006,0.001,0.7,9.069882250505678,9.069882250505678,0.08370000000000137,2253.2524265926722
0.006,0.001,0.8,10.345389115016097,10.345389115016097,0.07510000000000112,2248.004277162042
0.006,0.0012,0.6,7.796330521110803,7.796330521110803,0.0953000000000017,2188.260815592296
0.006,0.0012,0.7,9.074094188502752,9.074094188502752,0.08360000000000137,2253.583049698481
0.006,0.0012,0.8,10.352608248991599,10.352608248991599,0.07510000000000112,2248.371157946018
0.008,0.0005,0.6,13.526236152978235,13.526236152978235,0.06160000000000074,2386.8379390140076
0.008,0.0005,0.7,15.452866179215649,15.452866179215649,0.05620000000000058,2456.4401832107874
0.008,0.0005,0.8,17.09512135309993,17.09512135309993,0.052400000000000474,2731.4278251771193
0.008,0.0008,0.6,13.679274642421563,13.679274642421563,0.061200000000000726,2390.280591187592
0.008,0.0008,0.7,15.679515423171118,15.679515423171118,0.05580000000000057,2457.080719163657
0.008,0.0008,0.8,17.391959773146628,17.391959773146628,0.05190000000000046,2732.4395327112306
0.008,0.001,0.6,13.720288159798223,13.720288159798223,0.06110000000000072,2391.4232530273166
0.008,0.001,0.7,15.743976508639605,15.743976508639605,0.055600000000000566,2457.294138475298
0.008,0.001,0.8,17.480178798362964,17.480178798362964,0.051700000000000454,2732.7765654578575
0.008,0.0012,0.6,13.744513784436073,13.744513784436073,0.06100000000000072,2392.18368580857
0.008,0.0012,0.7,15.784806653179263,15.784806653179263,0.05550000000000056,2457.4363922962166
0.008,0.0012,0.8,17.53773094216054,17.53773094216054,0.05160000000000045,2733.001197608727
0.01,0.0005,0.6,19.00877752446694,19.00877752446694,0.048600000000000365,2989.5013550723083
0.01,0.0005,0.7,20.823195240311183,20.823195240311183,0.045500000000000276,2976.8986537995165
0.01,0.0005,0.8,22.346092591509642,22.346092591509642,0.04320000000000021,2834.0369089725364
0.01,0.0008,0.6,19.399286155438435,19.399286155438435,0.04800000000000035,2991.3822790151885
0.01,0.0008,0.7,21.328147093598552,21.328147093598552,0.04490000000000026,2981.2737602774214
0.01,0.0008,0.8,22.96896655070075,22.96896655070075,0.04260000000000019,2841.2967390879594
0.01,0.001,0.6,19.520601021026312,19.520601021026312,0.04780000000000034,2992.008606944636
0.01,0.001,0.7,21.488370534816895,21.488370534816895,0.04470000000000025,2982.7280401662247
0.01,0.001,0.8,23.169411865325266,23.169411865325266,0.04240000000000019,2843.7029469525296
